row_id,numeric__displacement,numeric__horsepower,numeric__weight,numeric__acceleration,numeric__model_year,categorical__cylinders_3,categorical__cylinders_4,categorical__cylinders_5,categorical__cylinders_6,categorical__cylinders_8,categorical__origin_1,categorical__origin_2,categorical__origin_3,missing__horsepower_missing
4,1.0901964962218176,1.266231685540078,0.5528262379412572,-1.319333667435329,-1.6966673021715355,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
19,-0.9229962312632753,-0.40792496092640396,-0.9996672929059413,-0.41318225006074033,-1.6966673021715355,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
377,-0.9813496436541476,-0.947975492044624,-1.1247722973103587,0.9279218476536509,1.638975369176518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
249,-0.9813496436541476,-1.1639957044919118,-1.3928544496055386,0.2754928271439467,0.527094478727167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
178,-0.7479359940906586,-0.218907275035027,-0.3276746978193565,-0.23195196658582257,-0.3068161891098465,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
64,2.0238510944757735,1.9412948494378528,1.6871116112079747,-1.319333667435329,-1.1407268569468598,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
247,-1.107782037167704,-1.3800159169392,-1.1724313466072795,1.3628745279934533,0.527094478727167,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
353,-0.9132706625314633,-1.028983071712357,-0.7017982348001855,1.8340732650282396,1.3610051465641804,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,-0.9229962312632753,-0.40792496092640396,-0.8221373342749109,1.2178903012135196,-0.8627566343345221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91,2.305892587698323,2.562352960223806,2.3626786349918283,-1.5005639509102469,-0.8627566343345221,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
232,2.0238510944757735,2.346332747776518,1.6156230372625933,-1.2468415540453623,0.2491242561148291,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
335,-1.1855865870222004,-0.083894642255472,-0.6541391855032647,-1.1381033839604113,1.0830349239518426,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119,-0.7382104253588465,-0.7589578061532469,-0.9663059583980965,-0.05072168311090479,-0.8627566343345221,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
219,-1.098056468435892,-1.218000757603734,-1.363067543794963,1.0729060744335859,0.2491242561148291,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
211,-0.3491876760863648,0.13212557019181598,-0.04648630696752316,-0.05072168311090479,-0.02884596649750869,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
379,-0.845191681408779,-1.0829881248241788,-1.0056246740680563,-0.34069013667077347,1.638975369176518,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
372,-0.5534246194544177,-0.515935067150048,-0.5290341810988473,0.130508600364013,1.638975369176518,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
281,0.38022997879953835,0.321143256083193,0.32882870624572896,-0.0869677398058882,0.8050647013395047,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
324,-0.3491876760863648,0.051117990524082994,-0.20137821718251608,-0.44942830675572376,1.0830349239518426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76,1.2263544584671862,1.266231685540078,1.3201369316216838,-0.594412533535658,-1.1407268569468598,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
246,-0.9132706625314633,-1.0019805451564459,-1.3928544496055386,-0.44942830675572376,0.527094478727167,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
111,-0.8160149752133429,-0.24590980159093798,-0.7029897110326085,0.3117388838389307,-0.8627566343345221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,0.069011779381553,-0.164902221923205,-0.2323565992255147,-0.05072168311090479,-1.6966673021715355,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
67,1.0901964962218176,1.266231685540078,0.8375890574903596,-1.5005639509102469,-1.1407268569468598,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
154,0.5650157847039672,0.051117990524082994,0.5838046199842558,0.130508600364013,-0.3068161891098465,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8,2.412873843748255,3.0213959116742926,1.6001338462410941,-2.5879456517597537,-1.6966673021715355,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
20,-0.9229962312632753,-1.5420310762746658,-1.351152781470733,1.761581151638273,-1.6966673021715355,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
138,1.5375726578851714,1.266231685540078,2.061235148188804,-0.41318225006074033,-0.5847864117221843,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
354,-0.845191681408779,-0.7859603327091579,-0.9281787189605598,-0.5219204201456913,1.3610051465641804,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
348,-1.0397030560450198,-1.028983071712357,-1.1843461089315097,1.3628745279934533,1.3610051465641804,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132,-1.1758610182903884,-1.028983071712357,-1.34996130523831,1.9428114351131907,-0.5847864117221843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
183,-0.825740543945155,-0.461930014038226,-0.6017142312766517,-0.05072168311090479,-0.02884596649750869,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
292,0.7303504531447719,0.5911685216423029,0.7577601499180171,-0.23195196658582257,0.8050647013395047,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
385,-0.9813496436541476,-0.9749780186005349,-1.1962608712557399,0.021770430279062062,1.638975369176518,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297,-0.6895825816997863,-0.6239451733736919,-0.356270127397509,-0.23195196658582257,0.8050647013395047,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,-0.5047967757953575,-0.353919907814582,-0.6684369002923409,1.3991205846884374,-1.1407268569468598,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,-0.9327217999950874,-0.9209729654887129,-0.9293701951929829,0.8554297342636841,-1.1407268569468598,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
285,0.32187656640866613,0.18613062330363797,0.46584847297437654,0.3479849405339148,0.8050647013395047,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
305,-0.9813496436541476,-0.9209729654887129,-0.9996672929059413,-0.34069013667077347,0.8050647013395047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
278,-0.2811086949636805,0.8071887340895909,0.5254222845955276,0.05801648697404613,0.527094478727167,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
158,1.5375726578851714,1.1312190527605228,1.752642803991241,-0.594412533535658,-0.3068161891098465,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
